validScientificName,scientificNameAuthorship,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,priority
Pulsatilla alpina,(L.) Delarbre,Dicot,perennial,forb,45.91,12.93,41.16,CR/CSR,1
Pulsatilla aurea,(N.Busch) Juz.,Dicot,perennial,forb,54.37,30,15.63,C/CSR,1
Pulsatilla montana,Rchb.,Dicot,perennial,forb,28.4,41.32,30.28,CSR,1
Pulsatilla pratensis,Mill.,Dicot,perennial,forb,41.16,58.84,0,CS,1
Pulsatilla vernalis,Mill.,Dicot,perennial,forb,30.9,67.08,2.02,S/CS,1
Pulsatilla vulgaris,Mill.,Dicot,perennial,forb,55.2,41.97,2.84,CS,1
Pycnanthemum tenuifolium,Schrad.,Dicot,perennial,forb,2.33,80.62,17.04,S/SR,4
Pyrola elliptica,Nutt.,Dicot,perennial,shrub,10.67,76.33,13,S/SR,2
Pyrola minor f. brevis,Lange,Dicot,perennial,shrub,13.21,51.64,35.15,SR/CSR,1
Pyrola rotundifolia,L.,Dicot,perennial,shrub,33.42,37.02,29.56,CSR,1
Quararibea amazonica,Ulbr.,Dicot,perennial,tree,49.23,38.32,12.46,CS/CSR,7
Quassia amara,L.,Dicot,perennial,tree,56.07,30.92,13.01,C/CSR,7
Quercus cerris,L.,Dicot,perennial,tree,28.95,68.02,3.03,S/CS,1
Quercus coccifera,L.,Dicot,perennial,shrub,9.38,90.62,0,S,1
Quercus gambelii,Nutt.,Dicot,perennial,shrub,33.08,60.99,5.93,S/CS,4
Quercus ilex,L.,Dicot,perennial,tree,25.39,63.95,10.67,S/CS,1
Quercus petraea,(Matt.) Liebl.,Dicot,perennial,tree,28.14,63.23,8.63,S/CS,1
Quercus pubescens,Willd.,Dicot,perennial,tree,34.26,63.86,1.88,S/CS,1
Quercus pubescens,Willd.,Dicot,perennial,tree,31.28,67.72,1,S/CS,1
Quercus robur,L.,Dicot,perennial,tree,27.15,63.3,9.55,S/CS,1
Quercus ilicifolia,Wangenh.,Dicot,perennial,tree,32.72,57.31,9.97,S/CSR,4
Quercus suber,L.,Dicot,perennial,tree,26.35,66.45,7.2,S/CS,1
Quercus pubescens  subsp. pubescens,"",Dicot,perennial,tree,36.49,56.75,6.75,CS,1
Radiola linoides,Roth,Dicot,annual,forb,0,36.23,63.77,R/SR,1
Randia armata,(Sw.) DC.,Dicot,perennial,tree,48.58,34.57,16.85,CS/CSR,4
Ranunculus aconitifolius,L.,Dicot,perennial,forb,72.51,0,27.49,C/CR,1
Ranunculus acris,L.,Dicot,perennial,forb,53.27,5.47,41.27,CR,1
Ranunculus alpestris,L.,Dicot,perennial,forb,16.56,42.12,41.32,SR/CSR,1
Ranunculus aquatilis,L.,Dicot,perennial,aquatic,11.11,0,88.89,R,1
Ranunculus arvensis,L.,Dicot,biennial,forb,22.94,5.28,71.78,R/CR,1
Ranunculus bulbosus,L.,Dicot,perennial,forb,41.2,23.73,35.07,CR/CSR,1
Ranunculus circinatus,Sibth.,Dicot,perennial,forb,4.02,0,95.98,R,1
Ranunculus crassifolius,(Rupr.) Grossh.,Dicot,perennial,forb,26.41,16.17,57.42,R/CSR,1
Ranunculus fascicularis,Muhl. ex Bigelow,Dicot,perennial,forb,23.08,13.44,63.48,R/CR,4
Ranunculus ficaria,L.,Dicot,perennial,forb,33.46,0,66.54,R/CR,1
Ranunculus flammula,L.,Dicot,perennial,forb,32.17,8.25,59.58,R/CR,1
Ranunculus fluitans,Lam.,Dicot,perennial,aquatic,32.62,0,67.38,R/CR,1
Ranunculus glacialis,L.,Dicot,perennial,forb,40.64,0,59.36,CR,1
Ranunculus hybridus,Biria,Dicot,perennial,forb,32.78,41.01,26.22,CSR,1
Ranunculus kuepferi,Greuter & Burdet,Dicot,perennial,forb,22.22,55.07,22.7,S/CSR,1
Ranunculus lingua,L.,Dicot,perennial,forb,58.37,20.69,20.93,C/CSR,1
Ranunculus montanus,Willd.,Dicot,perennial,forb,38.47,14.81,46.72,CR/CSR,1
Ranunculus oreophytus,Delile,Dicot,perennial,forb,28.37,31.3,40.33,CSR,1
Ranunculus peltatus,Schrank,Dicot,annual,forb,15.67,0,84.33,R,1
Ranunculus vertumnus,(C.D.K.Cook) Luferov,Dicot,perennial,aquatic,2.23,0,97.77,R,1
Ranunculus platanifolius,L.,Dicot,perennial,forb,76.74,6.31,16.96,C/CR,1
Ranunculus polyanthemos,L.,Dicot,perennial,forb,55.93,12.69,31.38,C/CSR,1
Ranunculus repens,L.,Dicot,perennial,forb,46.18,5.96,47.87,CR,1
Ranunculus reptans,L.,Dicot,perennial,forb,6.22,52.94,40.83,SR,1
Ranunculus sardous,Crantz,Dicot,perennial,forb,31.14,0,68.86,R/CR,1
Ranunculus sceleratus,L.,Dicot,perennial,forb,46.32,0,53.68,CR,1
Ranunculus septentrionalis var. pterocarpus,L.D.Benson,Dicot,perennial,forb,28.04,23.75,48.21,R/CSR,2
Ranunculus serpens,Schrank,Dicot,perennial,forb,53.64,0,46.36,CR,1
Ranunculus thora,L.,Dicot,perennial,forb,58.51,17.36,24.12,C/CSR,1
Ranunculus trichophyllus var. eradicatus,W.B.Drew,Dicot,perennial,aquatic,27.27,0,72.73,R/CR,1
Ranunculus trichophyllus,Chaix,Dicot,perennial,aquatic,6.44,23.71,69.85,R/SR,1
Raphanus raphanistrum,L.,Dicot,biennial,forb,77.17,0,22.83,C/CR,1
Raphanus raphanistrum  subsp. sativus,(L.) Domin,Dicot,biennial,forb,62.35,0,37.65,CR,1
Ratibida pinnata,Barnhart,Dicot,perennial,forb,40.67,44.1,15.23,CS/CSR,4
Rauvolfia littoralis,Rusby,Dicot,perennial,tree,60.22,4.78,34.99,C/CR,7
Reichardia picroides,(L.) Roth,Dicot,perennial,forb,44.23,0,55.77,CR,1
Reseda alba var. alba,"",Dicot,annual,forb,36.4,0,63.6,R/CR,1
Reseda luteola  subsp. biaui,(Pit.) Maire,Dicot,biennial,forb,52.98,0.49,46.52,CR,1
Retama sphaerocarpa,(L.) Boiss.,Dicot,perennial,shrub,0.2,0,99.8,R,1
Reynoutria bohemica,Chrtek & Chrtková,Dicot,perennial,forb,77.98,0,22.02,C/CR,1
Rhamnus alaternus,L.,Dicot,perennial,tree,19.91,80.09,0,S/CS,1
Rhamnus cathartica,L.,Dicot,perennial,tree,26.65,52.01,21.34,S/CSR,1
Frangula alnus,Mill.,Dicot,perennial,tree,17.18,55.93,26.89,S/CSR,1
Rhamnus oleoides,L.,Dicot,perennial,shrub,0.89,61.99,37.11,SR,1
Rhamnus saxatilis,Jacq.,Dicot,perennial,shrub,7.35,85.62,7.03,S,1
Rhinanthus alectorolophus,(Scop.) Pollich,Dicot,annual,forb,23.34,29.64,47.02,R/CSR,1
Rhinanthus glacialis,Personnat,Dicot,annual,forb,5.97,40.09,53.95,SR,1
Rhinanthus minor,L.,Dicot,annual,forb,9.39,44.6,46.02,SR,1
Rhodiola rosea var. rosea,"",Dicot,perennial,forb,16.96,0,83.04,R/CR,1
Rhododendron caucasicum,Pall.,Dicot,perennial,shrub,40.2,59.8,0,CS,1
Rhododendron ferrugineum,L.,Dicot,perennial,shrub,9.3,90.7,0,S,1
Rhododendron hirsutum,L.,Dicot,perennial,shrub,5.63,84.99,9.38,S,1
Rhododendron ponticum,L.,Dicot,perennial,shrub,27.01,72.99,0,S/CS,1
Rhodothamnus chamaecistus,(L.) Rchb.,Dicot,perennial,shrub,0.25,99.75,0,S,1
Rhus glabra,L.,Dicot,perennial,shrub,44.62,45.27,10.1,CS,4
Rhus typhina,L.,Dicot,perennial,tree,67.4,23.59,9.01,C/CS,4
Rhynchosia elegans,A.Rich.,Dicot,perennial,herbaceous vine,36.61,18.26,45.12,CR/CSR,8
Rhynchosia pyramidalis,(Lam.) Urb.,Dicot,perennial,liana,47.25,30.83,21.92,C/CSR,7
Rhynchospora alba,(L.) Vahl,Monocot,perennial,graminoid,9,49,42,SR,1
Rhynchospora ciliolata,Boeckeler,Monocot,perennial,graminoid,5.43,94.57,0,S,7
Rhynchospora fusca,(L.) W.T.Aiton,Monocot,perennial,graminoid,12.04,72.1,15.85,S/SR,1
Rhynchospora riedeliana,C.B.Clarke,Monocot,perennial,graminoid,15.92,84.08,0,S,7
Rhynchospora tenuis,Link,Monocot,perennial,graminoid,3.55,95.88,0.57,S,7
Rhynchospora terminalis,Steud.,Monocot,perennial,graminoid,5.4,94.6,0,S,7
Ribes nigrum f. subalpinum,Krasnob.,Dicot,perennial,shrub,30.05,55.38,14.56,S/CSR,1
Ribes sativum,Syme,Dicot,perennial,shrub,42.24,27.73,30.02,CSR,1
Ribes uva-crispa f. oblongum,(Kuntze) Soó,Dicot,perennial,shrub,15.91,68.92,15.17,S/CS,1
Richterago arenaria,(Baker) Roque,Dicot,perennial,forb,49.24,50.76,0,CS,7
Richterago polymorpha,(Less.) Roque,Dicot,perennial,forb,42.59,57.41,0,CS,7
Richterago polyphylla,(Baker) Ferreyra,Dicot,perennial,shrub,10.94,89.06,0,S,7
Rinorea anguifera,Kuntze,Dicot,perennial,tree,35.78,64.22,0,S/CS,9
Rinorea silvatica,Kuntze,Dicot,perennial,shrub,34.87,42.75,22.38,CS/CSR,7
Robinia pseudoacacia,L.,Dicot,perennial,tree,47.88,41.41,10.71,CS,1
Rorippa palustris,Besser,Dicot,annual,forb,41.63,0,58.37,CR,1
Rorippa sylvestris,(L.) Besser,Dicot,perennial,forb,20.71,0,79.29,R/CR,1
Rosa agrestis,Savi,Dicot,perennial,tree,30.52,51.82,17.65,S/CSR,1
Rosa arvensis,Huds.,Dicot,perennial,tree,21,41.75,37.25,SR/CSR,1
Rosa canina f. lucorum,(H Br.) Vukić.,Dicot,perennial,shrub,16.59,50.2,33.22,SR/CSR,1
Rosa dumalis,Tratt. ex Link,Dicot,perennial,tree,30.28,68.48,1.23,S/CS,1
Rosa inodora,Fr.,Dicot,perennial,shrub,23.11,69.4,7.48,S/CS,1
Rosa gallica,L.,Dicot,perennial,shrub,13.45,86.55,0,S,1
Rosa marginata,Wallr.,Dicot,perennial,shrub,24.56,52.25,23.19,S/CSR,1
Rosa micrantha,Borrer,Dicot,perennial,shrub,20.32,70.78,8.9,S/CS,1
Rosa multiflora,Thunb.,Dicot,perennial,tree,43.36,30.65,25.99,CSR,1
Rosa pendulina,L.,Dicot,perennial,shrub,29.57,45.58,24.85,S/CSR,1
Rosa rubiginosa f. gremlii,Christ,Dicot,perennial,shrub,22.1,72.02,5.88,S/CS,1
Rosa rugosa,Thunb.,Dicot,perennial,shrub,48.57,48.3,3.13,CS,1
Rosa woodsii,Lindl.,Dicot,perennial,shrub,18.42,63.44,18.14,S/CSR,2
Rosenbergiodendron formosum,(Jacq.) Fagerl.,Dicot,perennial,tree,26.22,44.75,29.04,S/CSR,7
Rosmarinus officinalis,L.,Dicot,perennial,shrub,3.55,96.45,0,S,1
Singaporandia macrophylla,(R.Br. ex Hook.f.) K.M.Wong,Dicot,perennial,tree,34.8,45.78,19.42,CS/CSR,9
Roupala montana,Aubl.,Dicot,perennial,tree,36.62,63.38,0,S/CS,7
Rourea glabra,Kunth,Dicot,perennial,shrub,57.42,33.87,8.71,CS,7
Rubia peregrina,L.,Dicot,perennial,liana,12.61,52.7,34.69,SR/CSR,1
Rubia tinctorum,L.,Dicot,perennial,forb,38.84,10.19,50.97,CR,1
Rubus allegheniensis,Porter,Dicot,perennial,shrub,27.97,49.23,22.8,S/CSR,4
Rubus pensilvanicus,Poir.,Dicot,perennial,shrub,13.64,66.9,19.45,S/SR,4
Rubus caesius,L.,Dicot,perennial,tree,52.29,20.96,26.75,C/CSR,1
Rubus chamaemorus,L.,Dicot,perennial,shrub,36.86,44.01,19.13,CS/CSR,1
Rubus fabrimontanus,Sprib.,Dicot,perennial,shrub,53.97,28.51,17.52,C/CSR,1
Rubus hirtus,Waldst. & Kit.,Dicot,perennial,shrub,21.75,65.35,12.9,S/CS,1
Rubus idaeus  f. succineus,Rehder,Dicot,perennial,tree,52.31,24.32,23.37,C/CSR,1
Rubus occidentalis,L.,Dicot,perennial,shrub,30.89,42.29,26.82,CSR,4
Rubus phoenicolasius,Maxim.,Dicot,perennial,tree,51.26,23.89,24.85,C/CSR,1
Rubus praecox,Bertol.,Dicot,perennial,tree,53.83,36.77,9.4,CS,1
Rubus saxatilis f. repens,Kuntze,Dicot,perennial,shrub,35.84,39.36,24.8,CS/CSR,1
Rubus ulmifolius,Schott,Dicot,perennial,tree,51.93,40.57,7.5,CS,1
Rudbeckia hirta,L.,Dicot,perennial,forb,12.23,69.25,18.53,S/SR,4
Ruellia humilis,Nutt.,Dicot,perennial,forb,14.73,77.95,7.32,S/CS,4
Rumex acetosa,L.,Dicot,perennial,forb,54.35,0,45.65,CR,1
Rumex acetosella,L.,Dicot,perennial,forb,24.52,0,75.48,R/CR,1
Rumex alpestris,Jacq.,Dicot,perennial,forb,55.99,0,44.01,CR,1
Rumex confertus,Willd.,Dicot,perennial,forb,90.3,0,9.7,C,1
Rumex aquaticus  subsp. arcticus,(Trautv.) Hiitonen,Dicot,perennial,aquatic,80.47,0,19.53,C/CR,1
Rumex stenophyllus,Ledeb.,Dicot,perennial,forb,71.43,0,28.57,C/CR,1
Rumex hydrolapathum,Huds.,Dicot,perennial,forb,85.08,0,14.92,C,1
Rumex maritimus var. athrix,H.St.John,Dicot,biennial,forb,28.58,0,71.42,R/CR,1
Rumex palustris,Sm.,Dicot,perennial,forb,41.07,13.44,45.49,CR/CSR,1
Rumex scutatus,L.,Dicot,perennial,forb,34.05,0,65.95,R/CR,1
Rumex stenophyllus,Ledeb.,Dicot,perennial,forb,63.77,0,36.23,C/CR,1
Rumex thyrsiflorus,Fingerh.,Dicot,perennial,forb,58.61,0,41.39,CR,1
Ruppia cirrhosa,(Petagna) Grande,Monocot,perennial,aquatic,2.82,21.18,76.01,R/SR,1
Ruppia maritima,L.,Monocot,perennial,aquatic,1.67,20.63,77.71,R/SR,1
Ruscus aculeatus,L.,Monocot,perennial,shrub,11.38,88.62,0,S,1
Ruta montana,Mill.,Dicot,perennial,forb,27.65,66.13,6.23,S/CS,1
Sabatia angularis,Pursh,Dicot,perennial,forb,5.02,77.25,17.73,S/SR,4
Saccharum officinarum,L.,Monocot,perennial,graminoid,68.89,23.41,7.7,C/CS,10
Sacoglottis mattogrossensis,Malme,Dicot,perennial,tree,36.48,63.52,0,S/CS,7
Sagina apetala,Ard.,Dicot,annual,forb,0,49.48,50.52,SR,1
Sagina nodosa,(L.) Fenzl,Dicot,perennial,forb,0.59,62.27,37.14,S/SR,1
Sagittaria sagittifolia,L.,Monocot,perennial,forb,60.13,0,39.87,CR,1
Salix alba,L.,Dicot,perennial,tree,25.34,63.35,11.31,S/CS,1
Salix appendiculata,Vill.,Dicot,perennial,shrub,26.16,52.66,21.18,S/CSR,1
Salix caesia,Vill.,Dicot,perennial,tree,12.46,54.27,33.28,S/CSR,1
Salix caprea f. pendula,(T.Lang) Geerinck,Dicot,perennial,shrub,23.46,64.39,12.16,S/CS,1
Salix cinerea f. acuta,E.L.Wolf,Dicot,perennial,tree,31.47,52.87,15.66,S/CSR,1
Salix eleagnos,Scop.,Dicot,perennial,tree,22.26,63.64,14.1,S/CS,1
Salix glauca,L.,Dicot,perennial,shrub,18.29,74.88,6.83,S/CS,1
Salix helvetica,Vill.,Dicot,perennial,shrub,18.11,42.68,39.2,SR/CSR,1
Salix herbacea,L.,Dicot,perennial,shrub,4.58,74.89,20.52,S/SR,1
Salix kazbekensis,A.K.Skvortsov,Dicot,perennial,tree,13.87,64.83,21.31,S/SR,1
Salix lanata var. glabra,Popov,Dicot,perennial,shrub,31.55,68.45,0,S/CS,1
Salix lapponum,L.,Dicot,perennial,shrub,16.15,79.04,4.81,S/CS,1
Salix myrsinifolia,Salisb.,Dicot,perennial,tree,19.64,40.91,39.46,SR/CSR,1
Salix myrsinites var. alpina,(Scop.) A.E.Murray,Dicot,perennial,shrub,15.87,84.13,0,S,1
Salix lucida,Muhl.,Dicot,perennial,tree,23.3,58.24,18.46,S/CSR,1
Salix purpurea,L.,Dicot,perennial,tree,17.72,71.51,10.77,S/CS,1
Salix repens var. elatior,(Ser.) Gaudin,Dicot,perennial,forb,4.46,76.99,18.55,S/SR,1
Salix nivalis,Hook.,Dicot,perennial,shrub,10.54,89.46,0,S,1
Salix retusa var. multiflora,Gaudin,Dicot,perennial,shrub,1.25,72.53,26.22,S/SR,1
Salix rosmarinifolia,L.,Dicot,perennial,shrub,9.75,73.42,16.83,S/SR,1
Salix starkeana,Willd.,Dicot,perennial,shrub,11.2,76.98,11.82,S/SR,1
Salix triandra,L.,Dicot,perennial,shrub,19.68,72.57,7.75,S/CS,1
Salix waldsteiniana,Willd.,Dicot,perennial,tree,12.87,55.09,32.04,S/CSR,1
Salvia nubicola,Wall. ex Sweet,Dicot,perennial,forb,57.9,0,42.1,CR,1
Salvia lyrata,L.,Dicot,perennial,forb,18.75,68.2,13.04,S/CS,4
Salvia fugax,Pobed.,Dicot,perennial,forb,41.67,9.12,49.21,CR,1
Salvia officinalis,L.,Dicot,perennial,shrub,27.63,38.89,33.48,CSR,1
Salvia pratensis var. alba,Schrad.,Dicot,perennial,forb,47.24,0,52.76,CR,1
Salvia verticillata,L.,Dicot,perennial,forb,52.62,25.51,21.87,C/CSR,1
Salvinia natans,(L.) All.,Fern,perennial,aquatic,1.29,0,98.71,R,1
Salzmannia nitida,DC.,Dicot,perennial,shrub,23.81,76.19,0,S/CS,7
Sambucus ebulus f. laciniata,E.Vicol,Dicot,perennial,forb,81.76,2.27,15.97,C/CR,1
Sambucus nigra,L.,Dicot,perennial,shrub,62.93,16.97,20.11,C/CSR,1
Sambucus racemosa f. nuda,H.Hara,Dicot,perennial,shrub,70.63,10.59,18.78,C/CR,1
Samolus valerandi var. repens,Brandegee,Dicot,perennial,forb,22.45,8.12,69.43,R/CR,1
Sanguisorba dodecandra,Moretti,Dicot,perennial,forb,64.84,16.57,18.59,C/CSR,1
Sanguisorba minor,Scop.,Dicot,perennial,forb,25.53,43.98,30.48,S/CSR,1
Sanguisorba officinalis,L.,Dicot,perennial,forb,25.49,41.58,32.93,CSR,1
Santiria apiculata,A.W.Benn.,Dicot,perennial,tree,55.56,39.41,5.03,CS,9
Santolina chamaecyparissus,L.,Dicot,perennial,shrub,0,0,100,R,1
Sapium glandulosum,(L.) Morong,Dicot,perennial,shrub,58.47,30.84,10.69,C/CSR,7
Saponaria ocymoides,L.,Dicot,perennial,forb,2.19,42.23,55.58,SR,1
Saponaria officinalis,L.,Dicot,perennial,forb,48.04,9.35,42.61,CR,1
Sarracenia purpurea,L.,Dicot,perennial,forb,65.42,15.65,18.93,C/CR,2
Satureja hortensis,L.,Dicot,perennial,forb,6.64,0,93.36,R,1
Satureja montana,L.,Dicot,perennial,forb,5.33,55.89,38.78,SR,1
Saussurea alpina,DC.,Dicot,perennial,forb,30.1,31.54,38.36,CSR,1
Saxifraga aizoides,L.,Dicot,perennial,forb,0,66.59,33.41,S/SR,1
Saxifraga androsacea,L.,Dicot,perennial,forb,0.72,0,99.28,R,1
Saxifraga aphylla,Sternb.,Dicot,perennial,forb,1.24,59.28,39.47,SR,1
Saxifraga caesia,L.,Dicot,perennial,forb,0,100,0,S,1
Saxifraga cuneifolia,L.,Dicot,perennial,forb,23.66,0,76.34,R/CR,1
Saxifraga exarata,Vill.,Dicot,perennial,forb,0,90.55,9.45,S,1
Saxifraga paniculata,Mill.,Dicot,perennial,forb,10.18,89.82,0,S,1
Saxifraga seguieri,Spreng.,Dicot,perennial,forb,0,0,100,R,1
Micranthes stellaris,"(L.) Galasso, Banfi & Soldano",Dicot,perennial,forb,10.47,0,89.53,R,1
Saxifraga tridactylites,L.,Dicot,perennial,forb,2.34,0,97.66,R,1
Scabiosa atropurpurea,L.,Dicot,perennial,forb,46.97,30.65,22.38,C/CSR,1
Scabiosa canescens,Waldst. & Kit.,Dicot,perennial,forb,34.21,60.41,5.38,S/CS,1
Lomelosia caucasica,(M.Bieb.) Greuter & Burdet,Dicot,perennial,forb,51.48,28.01,20.51,C/CSR,1
Scabiosa columbaria,L.,Dicot,perennial,forb,27.83,42.09,30.08,CSR,1
Scabiosa ochroleuca,L.,Dicot,perennial,forb,22.9,63.89,13.21,S/CS,1
Pycnocomon rutifolium,(Vahl) Hoffmanns. & Link,Dicot,perennial,forb,16.44,83.56,0,S/CS,1
Scandix pecten-veneris,L.,Dicot,annual,forb,46.26,0,53.74,CR,1
Scaphocalyx spathacea,Ridl.,Dicot,perennial,tree,54.55,44.09,1.35,CS,9
Didymopanax morototoni,(Aubl.) Decne. & Planch.,Dicot,perennial,tree,55.9,26.96,17.14,C/CSR,7
Scheuchzeria palustris,L.,Monocot,perennial,forb,27.52,70.04,2.44,S/CS,1
Schizachyrium scoparium,(Michx.) Nash,Monocot,perennial,graminoid,15.86,58.76,25.37,S/CSR,4
Schizachyrium tenerum,Nees,Monocot,perennial,graminoid,4.77,95.23,0,S,4
Schizolobium parahyba,(Vell.) S.F.Blake,Dicot,perennial,tree,75.66,13.87,10.47,C/CS,7
Schoenoplectus lacustris,(L.) Palla,Monocot,perennial,aquatic,91.57,8.43,0,C,1
Schoenoplectiella mucronata,(L.) J.Jung & H.K.Choi,Monocot,perennial,graminoid,30.18,64.04,5.78,S/CS,1
Schoenus ferrugineus,L.,Monocot,perennial,graminoid,7.68,92.32,0,S,1
Schoenus nigricans,L.,Monocot,perennial,graminoid,16.5,71.88,11.62,S/CS,1
Prospero autumnale,(L.) Speta,Monocot,perennial,forb,27.7,0,72.3,R/CR,1
Scilla vindobonensis,Speta,Monocot,perennial,forb,39.44,0,60.56,CR,1
Scilla siberica var. alba,M.C.Sedgw. & R.Cameron,Monocot,perennial,forb,28.72,0,71.28,R/CR,1
Scirpoides holoschoenus,(L.) Soják,Monocot,perennial,graminoid,18.56,81.44,0,S/CS,1
Scirpus atrocinctus,Fernald,Monocot,perennial,graminoid,38.36,57.37,4.28,CS,2
Eleocharis quinqueflora,(Hartmann) O.Schwarz,Monocot,perennial,graminoid,10.54,66.36,23.11,S/SR,1
Isolepis fluitans,(L.) R.Br.,Monocot,perennial,aquatic,0,27.03,72.97,R/SR,1
Trichophorum alpinum,Pers.,Monocot,perennial,graminoid,8.26,91.74,0,S,1
Schoenoplectus lacustris,(L.) Palla,Monocot,perennial,graminoid,83.38,0,16.62,C/CR,1
Bolboschoenus maritimus  subsp. maritimus,"",Monocot,perennial,graminoid,38.42,48.02,13.55,CS/CSR,1
Scirpus microcarpus,J.Presl & C.Presl,Monocot,perennial,graminoid,52.84,39.85,7.32,CS,2
Isolepis cernua  var. cernua,"",Monocot,perennial,graminoid,6.15,5.6,88.25,R,1
Scirpus sylvaticus,L.,Monocot,perennial,graminoid,52.75,27.07,20.18,C/CSR,1
Scleranthus annuus,L.,Dicot,annual,forb,0,0.69,99.31,R,1
Scleranthus perennis,L.,Dicot,perennial,forb,0,44.76,55.24,SR,1
Scleria oligantha,Michx.,Monocot,perennial,graminoid,12.26,73.53,14.21,S/SR,4
Scorzonera austriaca,Willd.,Dicot,perennial,forb,46.75,29.48,23.77,C/CSR,1
Podospermum canum,C.A.Mey.,Dicot,perennial,forb,22.35,31.23,46.42,R/CSR,1
Scorzonera hispanica,L.,Dicot,perennial,forb,51.34,30.76,17.9,C/CSR,1
Scorzonera humilis,L.,Dicot,perennial,forb,58.08,9.35,32.57,C/CSR,1
Scorzonera laciniata,Jacq.,Dicot,perennial,forb,25.73,28.95,45.32,R/CSR,1
Scorzoneroides helvetica,(Mérat) Holub,Dicot,perennial,forb,22.91,48.88,28.22,S/CSR,1
Scrophularia canina,L.,Dicot,perennial,forb,35.85,1.09,63.06,R/CR,1
Scrophularia lanceolata,Pursh,Dicot,perennial,forb,42.31,20.87,36.82,CR/CSR,4
Scrophularia nodosa,L.,Dicot,perennial,forb,44.94,0,55.06,CR,1
Scrophularia oblongifolia,Loisel.,Dicot,perennial,forb,49.7,0,50.3,CR,1
Scrophularia vernalis,L.,Dicot,perennial,forb,53.5,7.25,39.25,CR,1
Scutellaria galericulata,L.,Dicot,perennial,forb,14.72,23.31,61.96,R/CSR,1
Scutellaria hastifolia,L.,Dicot,perennial,forb,6.73,29.18,64.09,R/SR,1
Scutellaria lateriflora,L.,Dicot,perennial,forb,13.73,39.58,46.69,SR/CSR,2
Scutellaria minor,Huds.,Dicot,perennial,forb,4.27,34.79,60.94,R/SR,1
Scutellaria parvula,Michx.,Dicot,perennial,forb,3.42,59.9,36.68,SR,4
Microstachys ditassoides,(Didr.) Esser,Dicot,perennial,shrub,0.11,99.89,0,S,7
Coronilla varia,L.,Dicot,perennial,forb,21.88,0,78.12,R/CR,1
Sedum tenellum,M.Bieb.,Dicot,perennial,forb,0,66.89,33.11,S/SR,1
Selaginella selaginoides,(L.) P.Beauv. ex Schrank & Mart.,Fern,perennial,forb,0,58.04,41.96,SR,1
Selinum carvifolium,(L.) L.,Dicot,perennial,forb,17.83,49.48,32.7,SR/CSR,1
Senecio alpinus,(L.) L.f.,Dicot,perennial,forb,60.47,8.08,31.45,C/CR,1
Jacobaea aquatica,"(Hill) G.Gaertn., B.Mey. & Scherb.",Dicot,perennial,forb,50.23,0,49.77,CR,1
Tephroseris integrifolia  subsp. aurantiaca,(Hoppe ex Willd.) B.Nord.,Dicot,perennial,forb,43.27,0,56.73,CR,1
Senecio eremophilus,A.Gray,Dicot,perennial,shrub,36.99,0,63.01,R/CR,2
Senecio nemorensis  subsp. jacquinianus,(Rchb.) Celak.,Dicot,perennial,forb,60.6,0,39.4,CR,1
Jacobaea uniflora,(All.) Veldkamp,Dicot,perennial,forb,16.52,57.32,26.16,S/CSR,1
Senecio inaequidens,DC.,Dicot,perennial,shrub,32.49,0,67.51,R/CR,8
Jacobaea incana,(L.) Veldkamp,Dicot,perennial,forb,18.03,78.85,3.12,S/CS,1
Senecio kolenatianus,C.A.Mey.,Dicot,perennial,forb,48.66,0,51.34,CR,1
Senecio nemorensis,L.,Dicot,perennial,forb,58.82,0,41.18,CR,1
Senecio ovatus,"(G.Gaertn., B.Mey. & Scherb.) Willd.",Dicot,perennial,forb,53.17,0,46.83,CR,1
Jacobaea paludosa,"(L.) G.Gaertn., B.Mey. & Scherb.",Dicot,perennial,forb,57.75,0,42.25,CR,1
Packera paupercula,(Michx.) Á.Löve & D.Löve,Dicot,perennial,forb,11.97,0,88.03,R,2
Senecio squalidus  subsp. rupestris,(Waldst. & Kit.) Greuter,Dicot,perennial,forb,43.96,0,56.04,CR,1
Turanecio taraxacifolius,(M.Bieb.) Hamzaoğlu,Dicot,perennial,forb,56.01,0,43.99,CR,1
Senecio vernalis,Waldst. & Kit.,Dicot,annual,forb,48.05,0,51.95,CR,1
Senecio dubitabilis,C.Jeffrey & Y.L.Chen,Dicot,biennial,forb,39.22,0,60.78,CR,1
Senna aphylla,(Cav.) H.S.Irwin & Barneby,Dicot,perennial,shrub,11.02,88.98,0,S,7
Senna dariensis,(Britton & Rose) H.S.Irwin & Ba,Dicot,perennial,shrub,64.52,21.54,13.94,C/CS,7
Senna georgica,H.S.Irwin & Barneby,Dicot,perennial,tree,34.43,42.47,23.1,CS/CSR,7
Senna macranthera,(DC. ex Collad.) H.S.Irwin & Barneby,Dicot,perennial,tree,18.72,56.92,24.36,S/CSR,7
Serapias vomeracea,(Burm.f.) Briq.,Monocot,perennial,forb,45.58,0,54.42,CR,1
Serjania circumvallata,Radlk.,Dicot,perennial,liana,65,23.54,11.46,C/CS,7
Serjania mexicana,Willd.,Dicot,perennial,liana,60.14,30.33,9.54,C/CS,4
Serjania paucidentata,DC.,Dicot,perennial,liana,50.83,35.52,13.65,CS/CSR,7
