validScientificName,family,order,superOrder,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,priority
Shorea macroptera Dyer,Dipterocarpaceae,Malvales,Rosanae,Dicot,perennial,tree,33.89,66.11,0,S/CS,9
Shorea maxwelliana King,Dipterocarpaceae,Malvales,Rosanae,Dicot,perennial,tree,36.89,63.11,0,S/CS,9
Shorea ovalis Blume,Dipterocarpaceae,Malvales,Rosanae,Dicot,perennial,tree,28.02,67.59,4.39,S/CS,9
Shorea pauciflora King,Dipterocarpaceae,Malvales,Rosanae,Dicot,perennial,tree,45.74,53.66,0.6,CS,9
Sibbaldia procumbens L.,Rosaceae,Rosales,Rosanae,Dicot,perennial,forb,7.9,69.21,22.89,S/SR,1
Sicyos angulatus L.,Cucurbitaceae,Cucurbitales,Rosanae,Dicot,annual,forb,59.91,0,40.09,CR,4
Sigesbeckia orientalis L.,Asteraceae,Asterales,Asteranae,Dicot,annual,forb,64.24,0,35.76,C/CR,1
Silene acaulis (L.) Jacq.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,0,27.34,72.66,R/SR,1
Silene alba (Mill.) E.H.L. Krause,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,30.92,0,69.08,R/CR,1
Silene armeria L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,22.21,0,77.79,R/CR,1
Silene chlorantha (Willd.) Ehrh.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,19.58,61.82,18.61,S/CSR,1
Silene colorata Poiret canescens (Ten.) Cif. et Giac.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,17.57,0,82.43,R/CR,1
Silene cretica L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,25.09,0,74.91,R/CR,1
Silene dichotoma Ehrh.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,39.24,0,60.76,CR,1
Silene dioica (L.) Clairv.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,49.56,0,50.44,CR,1
Silene elisabethae Jan,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,50.12,14.06,35.82,CR/CSR,1
Silene flos-cuculi (L.) Clairv.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,42.17,5.81,52.02,CR,1
Silene gallica L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,biennial,forb,22.93,6.01,71.05,R/CR,1
Silene italica (L.) Pers.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,33.18,32.68,34.14,CSR,1
Silene linicola C.C. Gmel.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,29.62,0,70.38,R/CR,1
Silene nivea (Nutt.) Muhl. ex Otth,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,8.49,14.36,77.15,R/SR,4
Silene nutans L. nutans,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,40.36,1.98,57.66,CR,1
Silene otites (L.) Wibel,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,29.41,66.72,3.88,S/CS,1
Silene rupestris L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,8.34,13.35,78.31,R/SR,1
Silene saxatilis Sims,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,20.35,24.5,55.15,R/CSR,1
Silene vulgaris (Moench) Garcke vulgaris,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,45.2,0,54.8,CR,1
Silphium laciniatum L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,37.09,62.91,0,S/CS,4
Silphium terebinthinaceum Jacq.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,51.06,48.94,0,CS,4
Simarouba amara Aubl.,Simaroubaceae,Sapindales,Rosanae,Dicot,perennial,tree,56.5,33.01,10.49,C/CSR,7
Sinapis alba L.,Brassicaceae,Brassicales,Rosanae,Dicot,annual,forb,61,0,39,CR,1
Sindora coriacea (Baker) Prain,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,36.93,62.96,0.1,S/CS,9
Siparuna guianensis Aubl.,Siparunaceae,Laurales,Magnolianae,Dicot,perennial,tree,66.39,17.71,15.9,C/CS,7
Siparuna pauciflora,Siparunaceae,Laurales,Magnolianae,Dicot,perennial,tree,76.55,7.88,15.56,C/CR,7
Siphanthera arenaria (DC.) Cogn.,Melastomataceae,Myrtales,Rosanae,Dicot,perennial,forb,0,100,0,S,7
Sisymbrium altissimum L.,Brassicaceae,Brassicales,Rosanae,Dicot,biennial,forb,65.06,0,34.94,C/CR,1
Sisymbrium loeselii L.,Brassicaceae,Brassicales,Rosanae,Dicot,annual,forb,47.95,17.33,34.72,CR/CSR,1
Sisyrinchium albidum Raf.,Iridaceae,Asparagales,Lilianae,Monocot,perennial,forb,9.93,71.49,18.58,S/SR,4
Sisyrinchium pendulum Ravenna,Iridaceae,Asparagales,Lilianae,Monocot,perennial,forb,15.65,63.08,21.26,S/CSR,7
Sium latifolium L.,Apiaceae,Apiales,Asteranae,Dicot,perennial,aquatic,64.16,0,35.84,C/CR,1
Sloanea guianensis (Aubl.) Benth.,Elaeocarpaceae,Oxalidales,Rosanae,Dicot,perennial,tree,37.64,50.42,11.94,CS/CSR,7
Sloanea terniflora (DC.) Standl.,Elaeocarpaceae,Oxalidales,Rosanae,Dicot,perennial,tree,31.61,57.92,10.47,S/CSR,7
Smilax lasioneura Hook.,Smilacaceae,Liliales,Lilianae,Monocot,perennial,herbaceous vine,40.46,23.18,36.36,CR/CSR,4
Smyrnium perfoliatum L.,Apiaceae,Apiales,Asteranae,Dicot,biennial,forb,48.06,22.54,29.4,C/CSR,1
Solanum asperum Rich.,Solanaceae,Solanales,Asteranae,Dicot,perennial,shrub,36.45,28.37,35.18,CSR,7
Solanum circinatum Bohs,Solanaceae,Solanales,Asteranae,Dicot,perennial,shrub,68.13,11.62,20.24,C/CR,7
Solanum dulcamara L.,Solanaceae,Solanales,Asteranae,Dicot,perennial,tree,38.77,1.83,59.39,CR,1
Solanum hayesii Fernald,Solanaceae,Solanales,Asteranae,Dicot,perennial,tree,74.89,14.24,10.88,C/CS,7
Solanum lancaeifolium Jacq.,Solanaceae,Solanales,Asteranae,Dicot,perennial,herbaceous vine,57.04,29.57,13.39,C/CSR,4
Solanum paludosum Moric.,Solanaceae,Solanales,Asteranae,Dicot,perennial,shrub,39.75,57.32,2.93,CS,7
Solanum paniculatum L.,Solanaceae,Solanales,Asteranae,Dicot,perennial,shrub,57.14,36.84,6.02,CS,7
Solanum steyermarkii Carvalho,Solanaceae,Solanales,Asteranae,Dicot,perennial,shrub,45.12,24.33,30.55,C/CSR,7
Solanum tuberosum L.,Solanaceae,Solanales,Asteranae,Dicot,perennial,forb,73.31,0,26.69,C/CR,7
Soldanella alpina L.,Primulaceae,Ericales,Asteranae,Dicot,perennial,forb,19.96,72.06,7.97,S/CS,1
Soldanella pusilla Baumg. alpicola (F. K. Mey.) Chrtek,Primulaceae,Ericales,Asteranae,Dicot,perennial,forb,6.45,61.1,32.45,S/SR,1
Solidago canadensis L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,36.73,40.22,23.05,CS/CSR,2
Solidago gigantea Aiton serotina (O. Kuntze) McNeill,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,31.81,54.07,14.12,S/CSR,2
Solidago graminifolia (L.) Salisb.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,25.99,68.71,5.3,S/CS,2
Solidago juncea Aiton,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,33.72,49.96,16.32,CS/CSR,2
Solidago nana Nutt.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,11.09,74.24,14.67,S/SR,4
Solidago nemoralis Aiton,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,19.81,46.76,33.43,SR/CSR,4
Solidago rigida L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,53.62,39.22,7.17,CS,4
Solidago rugosa Mill.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,26.05,42.34,31.61,CSR,2
Solidago sciaphila E.S. Steele,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,22.54,30.34,47.11,R/CSR,4
Solidago velutina DC.,Asteraceae,Asterales,Asteranae,Dicot,perennial,shrub,16.56,71.01,12.43,S/CS,2
Solidago virgaurea L. virgaurea,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,31.12,46.86,22.02,S/CSR,1
Sonchus arvensis L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,13.11,56.86,30.03,S/CSR,1
Sonchus asper (L.) Hill asper,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,78.6,0,21.4,C/CR,1
Sonchus oleraceus L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,60.3,0,39.7,CR,1
Sonchus palustris L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,55.5,8.98,35.51,CR,1
Sorbaria sorbifolia (L.) A. Braun,Rosaceae,Rosales,Rosanae,Dicot,perennial,tree,64.05,20.69,15.26,C/CSR,1
Sorbus aria (L.) Crantz,Rosaceae,Rosales,Rosanae,Dicot,perennial,tree,39.91,45.11,14.98,CS/CSR,1
Sorbus aucuparia L.,Rosaceae,Rosales,Rosanae,Dicot,perennial,tree,53.01,39.29,7.71,CS,1
Sorbus intermedia (Ehrh.) Pers.,Rosaceae,Rosales,Rosanae,Dicot,perennial,tree,39.22,51.85,8.94,CS,1
Sorbus torminalis (L.) Crantz,Rosaceae,Rosales,Rosanae,Dicot,perennial,tree,47.01,24.76,28.23,C/CSR,1
Sorghastrum nutans (L.) Nash,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,23.81,58.88,17.31,S/CSR,4
Sorghum bicolor (L.) Moench,Poaceae,Poales,Lilianae,Monocot,annual,graminoid,58.42,26.48,15.1,C/CSR,8
Sorghum halepense (L.) Pers.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,56.86,18.98,24.16,C/CSR,1
Sorghum purpureosericeum (Hochst. ex A. Rich.) Asch. & Schweinf.,Poaceae,Poales,Lilianae,Monocot,annual,graminoid,26.84,42.23,30.93,CSR,8
Sorocea affinis Hemsl.,Moraceae,Rosales,Rosanae,Dicot,perennial,shrub,31.29,46.36,22.35,S/CSR,7
Spachea membranacea Cuatrec.,Malpighiaceae,Malpighiales,Rosanae,Dicot,perennial,tree,49.73,24.53,25.75,C/CSR,7
Sparganium emersum Rehmann,Typhaceae,Poales,Lilianae,Monocot,perennial,aquatic,51.14,0,48.86,CR,1
Sparganium erectum L.,Typhaceae,Poales,Lilianae,Monocot,perennial,forb,78.63,0,21.37,C/CR,1
Sparganium minimum (L.) Fr.,Typhaceae,Poales,Lilianae,Monocot,perennial,aquatic,22.44,0,77.56,R/CR,1
Sparganium natans L.,Typhaceae,Poales,Lilianae,Monocot,perennial,aquatic,46.76,20.56,32.68,CR/CSR,1
Spartina anglica C.E. Hubb.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,34.05,65.95,0,S/CS,1
Spartina versicolor Fabre,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,30.1,68.46,1.44,S/CS,1
Spartium junceum L.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,22.15,0,77.85,R/CR,1
Specularia perfoliata (L.) A. DC.,Campanulaceae,Asterales,Asteranae,Dicot,annual,forb,7.99,10.22,81.78,R,4
Spergula arvensis L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,20.94,0,79.06,R/CR,1
Spergularia echinosperma (Celak.) Asch. & Graebn.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,0,0,100,R,1
Spergularia media (L.) C. Presl,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,0,0,100,R,1
Spergularia rubra (L.) J. Presl & C. Presl,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,biennial,forb,0,0,100,R,1
Spigelia aceifolia Woodson,Loganiaceae,Gentianales,Asteranae,Dicot,perennial,shrub,0,100,0,S,7
Spiraea japonica L.,Rosaceae,Rosales,Rosanae,Dicot,perennial,tree,30.18,35.64,34.19,CSR,1
Spiraea latifolia (Aiton) Borkh.,Rosaceae,Rosales,Rosanae,Dicot,perennial,shrub,31.32,58.16,10.52,S/CSR,4
Spiraea salicifolia L.,Rosaceae,Rosales,Rosanae,Dicot,perennial,shrub,17.75,59.73,22.52,S/CSR,1
Spiraea tomentosa L.,Rosaceae,Rosales,Rosanae,Dicot,perennial,shrub,4.96,84.96,10.08,S,4
Spirodela polyrrhiza (L.) Schleid.,Araceae,Alismatales,Lilianae,Monocot,perennial,aquatic,2.03,0,97.97,R,1
Spondias mombin L.,Anacardiaceae,Sapindales,Rosanae,Dicot,perennial,tree,72.24,21.34,6.42,C/CS,7
Spondias radlkoferi Donn. Sm.,Anacardiaceae,Sapindales,Rosanae,Dicot,perennial,tree,66.52,21.91,11.56,C/CS,7
Sporobolus clandenstinus (Biehler) Hitchc.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,8.35,82.27,9.39,S,4
Sporobolus heterolepis (A. Gray) A. Gray,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,14.34,66.26,19.4,S/SR,4
Sporobolus interruptus Vasey,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,8.4,87.06,4.53,S,4
Sporobolus vaginiflorus (Torr. ex A. Gray) Alph. Wood,Poaceae,Poales,Lilianae,Monocot,annual,graminoid,1.78,53.01,45.21,SR,4
Sporobolus virginicus (L.) Kunth,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,12.37,67.45,20.18,S/SR,4
Stachys alopecuros (L.) Benth. alopecuros,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,forb,55.96,2.81,41.22,CR,1
Stachys officinalis (L.) Trevis.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,forb,30.51,20.77,48.72,R/CSR,1
Stachys recta L.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,forb,32.14,19.12,48.74,R/CSR,1
Stachys sylvatica L.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,forb,44.19,0,55.81,CR,1
Stachys tenuifolia Willd.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,forb,24.39,53.56,22.05,S/CSR,4
Staphylea pinnata L.,Staphyleaceae,Crossosomatales,Rosanae,Dicot,perennial,tree,53.39,16.32,30.29,C/CSR,1
Stellaria graminea L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,14.46,12.46,73.08,R/CR,1
Stellaria media (L.) Vill. media,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,5.03,0,94.97,R,1
Stellaria neglecta Weihe,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,18.82,0,81.18,R/CR,1
Stellaria nemorum L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,26.59,4.48,68.93,R/CR,1
Stellaria pallida (Dumort.) Crép.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,3.78,0,96.22,R,1
Stellaria uliginosa Murray,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,4.96,0,95.04,R,1
Stemmadenia grandiflora (Jacq.) Miers,Apocynaceae,Gentianales,Asteranae,Dicot,perennial,tree,43.43,3.88,52.69,CR,7
Sterculia apetala (Jacq.) H. Karst.,Malvaceae,Malvales,Rosanae,Dicot,perennial,tree,78.79,18.34,2.87,C/CS,7
Stigmaphyllon lindenianum A. Juss.,Malpighiaceae,Malpighiales,Rosanae,Dicot,perennial,liana,59.65,0,40.35,CR,7
Stipa capillata L.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,11.06,88.94,0,S,1
Stipa pulcherrima K. Koch,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,13.32,86.68,0,S,1
Stipa spartea Trin.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,26.5,73.5,0,S/CS,2
Stizophyllum inaequilaterum Bureau & K. Schum.,Bignoniaceae,Lamiales,Asteranae,Dicot,perennial,liana,42.52,31.38,26.1,CSR,7
Stratiotes aloides L.,Hydrocharitaceae,Alismatales,Lilianae,Monocot,perennial,aquatic,57.84,0,42.16,CR,1
Strychnos panamensis Seem.,Loganiaceae,Gentianales,Asteranae,Dicot,perennial,liana,32.47,56.59,10.94,S/CSR,7
Strychnos toxifera R.H. Schomb. ex Lindl.,Loganiaceae,Gentianales,Asteranae,Dicot,perennial,tree,45.02,41.18,13.8,CS/CSR,7
Stryphnodendron pulcherrimum (Willd.) Hochr.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,14.64,38.74,46.63,SR/CSR,7
Stylogyne turbacensis (Kunth) Mez,Primulaceae,Ericales,Asteranae,Dicot,perennial,shrub,63.03,36.97,0,C/CS,7
Succisa pratensis Moench,Caprifoliaceae,Dipsacales,Asteranae,Dicot,annual,forb,35.52,33.42,31.06,CSR,1
Swartzia simplex Spreng.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,47.77,47.1,5.12,CS,7
Swertia iberica Fisch. & C.A. Mey.,Gentianaceae,Gentianales,Asteranae,Dicot,perennial,forb,62.92,0,37.08,C/CR,1
Symphonia globulifera L. f.,Clusiaceae,Malpighiales,Rosanae,Dicot,perennial,tree,38.93,35,26.06,CSR,7
Symphoricarpos albus (L.) S.F. Blake,Caprifoliaceae,Dipsacales,Asteranae,Dicot,perennial,shrub,25.41,49.66,24.94,S/CSR,2
Symphyotrichum ascendens (Lindl.) G.L. Nesom,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,15.99,73.09,10.92,S/CS,2
Symphyotrichum falcatum (Lindl.) G.L. Nesom,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,9.57,46.25,44.18,SR,4
Symphyotrichum oolentangiense (Riddell) G.L. Nesom,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,28.11,51.26,20.63,S/CSR,4
Symphytum officinale L.,Boraginaceae,Boraginales,Asteranae,Dicot,perennial,forb,69.72,0,30.28,C/CR,1
Symphytum tuberosum L. angustifolium (A. Kern.) Nyman,Boraginaceae,Boraginales,Asteranae,Dicot,perennial,forb,44.89,0,55.11,CR,1
Syngonanthus cipoensis Ruhland,Eriocaulaceae,Poales,Lilianae,Monocot,perennial,forb,17.28,82.72,0,S/CS,7
Syringa vulgaris L.,Oleaceae,Lamiales,Asteranae,Dicot,perennial,shrub,36.83,50.83,12.34,CS/CSR,1
Syzygium scortechinii (King) Chantaran. & J. Parn.,Myrtaceae,Myrtales,Rosanae,Dicot,perennial,tree,44.29,55.71,0,CS,9
Tabebuia guayacan (Seem.) Hemsl.,Bignoniaceae,Lamiales,Asteranae,Dicot,perennial,tree,58.02,31.14,10.84,C/CSR,7
Tabebuia rosea (Bertol.) DC.,Bignoniaceae,Lamiales,Asteranae,Dicot,perennial,tree,81.72,9.62,8.66,C,7
Tabebuia roseoalba (Ridl.) Sandwith,Bignoniaceae,Lamiales,Asteranae,Dicot,perennial,tree,45.03,34.17,20.8,CS/CSR,7
Tabernaemontana arborea Rose,Apocynaceae,Gentianales,Asteranae,Dicot,perennial,tree,50.09,22.41,27.5,C/CSR,7
Tabernaemontana flavicans Willd. ex Roem. & Schult.,Apocynaceae,Gentianales,Asteranae,Dicot,perennial,tree,67.12,12.41,20.47,C/CR,7
Tachigali densiflora (Benth.) L.F. Gomes da Silva & H.C. Lima,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,48.02,45.88,6.1,CS,7
Tachigali versicolor Standl. & L.O. Williams,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,68.95,24.97,6.08,C/CS,7
Talisia nervosa Radlk.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,73.82,26.18,0,C/CS,7
Talisia princeps Oliv.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,72.87,25.94,1.19,C/CS,7
Tamus communis L.,Dioscoreaceae,Dioscoreales,Lilianae,Monocot,perennial,forb,48.55,0,51.45,CR,1
Tanacetum corymbosum (L.) Sch. Bip.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,64.24,0,35.76,C/CR,1
Tanacetum parthenium (L.) Sch. Bip,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,39.79,3.24,56.97,CR,1
Tanacetum vulgare L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,57.95,21.56,20.49,C/CSR,1
Tapirira guianensis Aubl.,Anacardiaceae,Sapindales,Rosanae,Dicot,perennial,tree,46.11,45.98,7.91,CS,7
Taraxacum confusum Schischk.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,50.75,0,49.25,CR,1
Taraxacum erythrospermum Andrz. ex Besser,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,28.07,0.86,71.07,R/CR,1
Taraxacum fulvum Raunk.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,35.17,0,64.83,R/CR,1
Taraxacum laevigatum (Willd.) DC.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,11.37,63.34,25.28,S/SR,1
Taraxacum officinale F.H. Wigg.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,57.78,0.57,41.65,CR,1
Taraxacum schroeteranum Hand.-Mazz.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,19.75,0,80.25,R/CR,1
Taraxacum stevenii DC.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,26.27,0,73.73,R/CR,1
Tatianyx arnacites (Trin.) Zuloaga & Soderstr.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,9.18,90.82,0,S,7
Taxus baccata L.,Taxaceae,Pinales,,Gymnosperm,perennial,tree,1.7,98.3,0,S,1
Teesdalia nudicaulis (L.) R. Br.,Brassicaceae,Brassicales,Rosanae,Dicot,annual,forb,10.62,0,89.38,R,1
Tephrosia virginiana (L.) Pers.,Fabaceae,Fabales,Rosanae,Dicot,perennial,shrub,55.56,26.58,17.86,C/CSR,4
Terminalia amazonia (J.F. Gmel.) Exell,Combretaceae,Myrtales,Rosanae,Dicot,perennial,tree,31.46,56.41,12.13,S/CSR,7
Terminalia oblonga (Ruiz & Pav.) Steud.,Combretaceae,Myrtales,Rosanae,Dicot,perennial,tree,34.58,41.36,24.06,CS/CSR,7
Tetracera breyniana Schltdl.,Dilleniaceae,Dilleniales,Dillenianae,Dicot,perennial,tree,38.96,61.04,0,CS,7
Tetracera hydrophila Triana & Planch.,Dilleniaceae,Dilleniales,Dillenianae,Dicot,perennial,liana,52.6,40.5,6.9,CS,7
Tetragastris panamensis (Engl.) Kuntze,Burseraceae,Sapindales,Rosanae,Dicot,perennial,tree,58.17,41.83,0,CS,7
Tetragonolobus maritimus Roth,Fabaceae,Fabales,Rosanae,Dicot,perennial,forb,23.83,30.76,45.41,R/CSR,1
Tetrapterys microphylla Nied.,Malpighiaceae,Malpighiales,Rosanae,Dicot,perennial,shrub,10.02,89.98,0,S,7
Tetrathylacium johansenii Standl.,Salicaceae,Malpighiales,Rosanae,Dicot,perennial,tree,45.02,40.79,14.19,CS/CSR,4
Teucrium botrys L.,Lamiaceae,Lamiales,Asteranae,Dicot,annual,forb,14.26,0,85.74,R,1
Teucrium canadense L.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,forb,27.91,39.74,32.35,CSR,4
Teucrium capitatum L. capitatum,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,shrub,6.65,79.96,13.38,S/SR,1
Teucrium chamaedrys L. chamaedrys,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,shrub,10.61,71.39,17.99,S/SR,1
Teucrium montanum L.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,forb,1.81,76.09,22.1,S/SR,1
Teucrium polium L.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,shrub,0,72.13,27.87,S/SR,1
Teucrium scordium L.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,forb,13.53,4.45,82.02,R,1
Teucrium scorodonia L.,Lamiaceae,Lamiales,Asteranae,Dicot,annual,forb,36.64,9.23,54.13,CR,1
Thalictrum alpinum L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,5.25,75.52,19.23,S/SR,1
Thalictrum aquilegiifolium L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,74.21,6.96,18.83,C/CR,1
Thalictrum dasycarpum Fisch. & Avé-Lall.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,21.3,38.01,40.68,SR/CSR,2
Thalictrum dioicum L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,16.18,20.57,63.25,R/CSR,4
Thalictrum exaltatum Gaudin exaltatum,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,62.59,30.36,7.05,C/CS,1
Thalictrum fendleri Engelm. ex A. Gray,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,53.78,33.01,13.21,C/CSR,4
Thalictrum minus L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,55.26,28.47,16.28,C/CSR,1
Thelypteris palustris Schott,Thelypteridaceae,Polypodiales,,Fern,perennial,forb,62.9,2.38,34.72,C/CR,1
Themeda triandra Forssk.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,19.48,67.53,12.99,S/CS,1
Theobroma cacao L.,Malvaceae,Malvales,Rosanae,Dicot,perennial,tree,58.08,29.21,12.71,C/CSR,7
Thesium bavarum Schrank,Santalaceae,Santalales,Santalanae,Dicot,perennial,forb,14.93,44.19,40.88,SR/CSR,1
Thesium linophyllon L.,Santalaceae,Santalales,Santalanae,Dicot,perennial,forb,3.48,28.78,67.75,R/SR,1
Thesium pyrenaicum Pourr.,Santalaceae,Santalales,Santalanae,Dicot,perennial,forb,5.53,17.07,77.4,R/SR,1
Thevetia ahouai (L.) A. DC.,Apocynaceae,Gentianales,Asteranae,Dicot,perennial,tree,73.36,4.45,22.2,C/CR,7
Thinouia myriantha Triana & Planch.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,50.97,43.38,5.64,CS,7
Thlaspi alliaceum L.,Brassicaceae,Brassicales,Rosanae,Dicot,annual,forb,13.02,0,86.98,R,1
Thlaspi arvense L.,Brassicaceae,Brassicales,Rosanae,Dicot,annual,forb,18.72,0,81.28,R/CR,1
Thlaspi montanum L.,Brassicaceae,Brassicales,Rosanae,Dicot,perennial,forb,12.64,0,87.36,R,1
Thlaspi rotundifolium (L.) Gaudin,Brassicaceae,Brassicales,Rosanae,Dicot,perennial,forb,3.15,96.85,0,S,1
Thymus glabrescens Willd. decipiens (Heinr. Braun) Domin,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,shrub,0.27,74.31,25.42,S/SR,1
Thymus nummularius M. Bieb.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,shrub,4.66,55.87,39.47,SR,1
Thymus polytrichus A. Kern. ex Borbás,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,shrub,0,85.49,14.51,S,1
Thymus praecox Opiz,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,shrub,0,69.14,30.86,S/SR,1
Thymus pulegioides L. carniolicus (Borbás) P. A. Schmidt,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,shrub,1.49,85.12,13.38,S,1
