,,LIGHT,TEMPERATURE,MOISTURE,REACTION,NUTRIENTS,SALINITY
7579,Sedum spurium,8.0,6.2,3.0,5.0,3.0,0.0
7580,Sedum stellatum,5.0,9.0,5.0,6.0,4.0,0.0
7581,Sedum stoloniferum,NA,6.0,NA,NA,NA,NA
7582,Sedum tristriatum,8.0,NA,3.0,8.0,2.0,0.0
7583,Sedum urvillei,9.0,8.0,1.0,9.0,1.0,0.0
7584,Sedum villosum,8.5,x,9.0,x,1.9,0.0
7585,Selaginella denticulata,5.7,8.0,4.3,7.5,1.7,0.0
7586,Selaginella helvetica,5.4,5.3,5.6,8.0,2.0,0.0
7587,Selaginella selaginoides,7.7,2.8,7.3,6.7,2.2,0.0
7588,Selinum carvifolia,6.9,5.0,7.2,6.0,3.0,0.0
7589,Selinum dubium,7.3,6.4,7.9,6.0,5.3,0.2
7590,Selinum silaifolium,5.0,7.3,4.5,7.0,4.0,0.0
7591,Sempervivum arachnoideum,9.0,3.1,2.3,2.7,1.0,0.0
7592,Sempervivum armenum,9.0,2.0,2.0,2.0,2.0,0.0
7593,Sempervivum calcareum,9.0,4.5,3.0,8.0,2.0,0.0
7594,Sempervivum dolomiticum,9.0,2.5,3.0,8.0,2.0,0.0
7595,Sempervivum grandiflorum,9.0,2.5,4.0,2.0,1.0,0.0
7596,Sempervivum marmoreum,9.0,8.0,1.0,6.0,1.0,0.0
7597,Sempervivum montanum,8.1,2.2,3.3,2.0,1.0,0.0
7598,Sempervivum pittonii,NA,5.0,NA,NA,NA,NA
7599,Sempervivum riccii,9.0,4.0,2.0,8.0,1.0,0.0
7600,Sempervivum ruthenicum,7.5,4.8,5.5,NA,NA,NA
7601,Sempervivum schottii,NA,3.0,NA,NA,NA,NA
7602,Sempervivum tectorum,8.4,x,1.9,5.0,1.8,0.0
7603,Sempervivum vicentei,9.0,3.0,2.0,6.0,1.0,NA
7604,Sempervivum wulfenii,9.0,2.5,4.0,2.0,1.0,0.0
7605,Senecio cacaliaster,6.5,3.7,5.5,4.5,6.0,0.0
7606,Senecio cambrensis,8.0,NA,5.0,7.0,7.0,0.0
7607,Senecio carpetanus,9.0,4.0,5.0,4.0,1.0,NA
7608,Senecio doria aggr.,7.6,x,x,6.5,x,0.0
7609,Senecio doronicum,8.3,2.5,4.3,7.3,2.3,0.0
7610,Senecio duriaei,9.0,4.0,3.0,7.0,3.0,NA
7611,Senecio fontanicola,NA,7.0,NA,NA,NA,NA
7612,Senecio fruticulosus,8.0,6.0,4.0,7.0,5.0,0.0
7613,Senecio gallicus,8.5,7.7,2.0,5.0,3.5,0.0
7614,Senecio glaucus,9.0,12.0,1.0,6.0,1.0,0.0
7615,Senecio inaequidens,8.4,7.2,2.6,6.8,3.6,0.2
7616,Senecio leucanthemifolius,7.9,x,3.6,x,x,1.0
7617,Senecio lividus,8.0,7.5,2.0,2.5,x,0.0
7618,Senecio macrophyllus,8.0,4.5,6.0,NA,NA,NA
7619,Senecio nemorensis aggr.,x,x,x,5.6,x,0.0
7620,Senecio provincialis,7.0,5.5,5.0,7.0,3.0,0.0
7621,Senecio pyrenaicus,8.5,2.5,3.5,3.0,1.5,0.0
7622,Senecio rosinae,7.0,4.0,6.0,3.0,3.0,0.0
7623,Senecio ruthenensis,6.0,5.0,4.0,7.0,3.0,0.0
7624,Senecio sarracenicus,6.9,6.3,8.2,6.8,7.4,0.0
7625,Senecio scopolii,7.0,6.0,4.0,7.0,4.0,0.0
7626,Senecio smithii,8.0,NA,7.0,6.0,7.0,0.0
7627,Senecio squalidus,7.6,x,4.2,x,x,0.0
7628,Senecio sylvaticus,7.8,5.5,x,4.4,x,0.0
7629,Senecio transiens,9.0,8.0,5.0,7.0,7.0,5.0
7630,Senecio viscosus,8.0,5.6,3.5,5.6,4.6,0.1
7631,Senecio vulgaris,7.2,5.5,4.5,6.0,7.6,0.3
7632,Senna obtusifolia,NA,9.0,NA,NA,NA,NA
7633,Serapias cordigera,8.3,x,4.3,4.3,2.0,0.0
7634,Serapias lingua,8.3,x,3.8,4.3,2.5,0.3
7635,Serapias neglecta,8.5,9.0,4.0,3.5,2.0,0.0
7636,Serapias nurrica,8.0,8.0,5.0,3.0,2.0,0.0
7637,Serapias olbia,8.0,8.0,5.0,3.0,2.0,0.0
7638,Serapias parviflora,8.5,x,3.8,x,2.5,0.3
7639,Serapias vomeracea aggr.,8.1,9.1,4.4,x,2.8,0.3
7640,Serratula coronata,7.5,5.5,6.3,NA,NA,NA
7641,Serratula tinctoria,7.0,5.5,6.5,x,3.1,0.1
7642,Sesamoides interrupta,9.0,6.0,5.0,2.0,1.0,0.0
7643,Sesamoides minor,8.5,4.0,4.0,2.5,2.0,0.0
7644,Sesamoides purpurascens,8.8,7.8,3.3,4.3,1.3,0.0
7645,Seseli annuum,7.9,x,3.1,8.6,2.0,0.0
7646,Seseli austriacum,NA,5.0,NA,NA,NA,NA
7647,Seseli bocconi,9.0,10.0,2.0,7.0,3.0,3.0
7648,Seseli campestre,8.0,5.3,5.0,NA,NA,NA
7649,Seseli cantabricum,9.0,6.0,2.0,6.0,1.0,0.0
7650,Seseli crithmifolium,7.0,11.0,3.0,9.0,5.0,1.0
7651,Seseli dichotomum,8.5,5.5,5.3,NA,NA,NA
7652,Seseli galloprovinciale,9.0,8.0,4.0,8.0,3.0,0.0
7653,Seseli gummiferum,8.5,5.5,4.8,NA,NA,NA
7654,Seseli hippomarathrum,8.9,7.0,2.2,9.0,1.0,0.0
7655,Seseli kochii,7.0,7.0,3.0,7.0,2.0,0.0
7656,Seseli lehmannii,8.5,4.8,5.0,NA,NA,NA
7657,Seseli leucospermum,9.0,8.0,1.0,9.0,1.0,0.0
7658,Seseli libanotis,7.4,5.3,3.2,7.6,2.1,0.0
7659,Seseli longifolium,8.0,8.0,4.0,8.0,3.0,0.0
7660,Seseli montanum,8.3,x,3.1,7.2,1.9,0.0
7661,Seseli osseum,8.5,7.7,2.0,7.0,1.5,0.0
7662,Seseli pallasii,8.0,x,2.8,7.7,2.0,0.0
7663,Seseli peucedanoides,7.3,5.7,3.3,7.3,2.0,0.0
7664,Seseli polyphyllum,9.0,10.0,3.0,7.0,2.0,0.0
7665,Seseli praecox,8.0,9.0,5.0,6.0,5.0,6.0
7666,Seseli tortuosum,8.3,x,4.0,8.0,2.0,0.0
7667,Sesleria autumnalis,6.0,5.5,4.8,6.5,4.8,0.0
7668,Sesleria caerulea,7.3,3.2,4.4,8.3,2.3,0.0
7669,Sesleria coerulans,8.0,3.0,6.3,NA,NA,NA
7670,Sesleria comosa,NA,NA,5.0,NA,NA,NA
7671,Sesleria doerfleri,7.0,10.0,4.0,8.0,4.0,0.0
7672,Sesleria heuflerana,7.5,4.6,4.9,8.5,2.0,0.0
7673,Sesleria insularis,6.0,3.5,5.0,8.3,3.3,0.0
7674,Sesleria juncifolia,8.0,4.8,2.5,7.0,4.0,0.0
7675,Sesleria korabensis,8.5,4.0,2.8,7.3,2.4,0.0
7676,Sesleria nitida,9.0,5.0,2.0,6.0,1.0,0.0
7677,Sesleria ovata,8.0,1.0,5.0,7.5,2.5,0.0
7678,Sesleria rigida,8.0,4.7,4.1,7.3,1.5,0.0
7679,Sesleria robusta,8.2,6.0,3.4,6.2,2.6,0.0
7680,Sesleria sadlerana,9.0,4.3,4.0,8.0,2.5,0.0
7681,Sesleria sphaerocephala,9.0,2.0,3.5,8.5,2.0,0.0
7682,Sesleria tenerrima,8.3,7.1,4.1,7.0,3.8,0.0
7683,Sesleria uliginosa,8.0,4.8,7.8,7.6,2.6,0.0
7684,Sesleria vaginalis,8.0,7.9,3.5,7.0,3.4,0.1
7685,Sesleria wettsteinii,7.3,NA,4.1,NA,NA,NA
7686,Setaria pumila,7.3,x,x,x,6.3,0.2
7687,Setaria verticillata,7.3,7.4,4.3,5.3,7.3,0.2
7688,Setaria verticillata aggr.,8.0,7.0,4.0,6.0,7.0,1.0
7689,Setaria verticilliformis,7.8,7.6,4.5,6.0,6.8,0.3
7690,Setaria viridis,7.3,6.1,4.6,5.7,6.8,0.2
7691,Sherardia arvensis,7.2,6.0,4.1,6.8,4.9,0.0
7692,Sibbaldia procumbens,7.3,1.8,6.4,2.5,3.8,0.0
7693,Sibbaldianthe bifurca,8.5,5.5,4.3,NA,NA,NA
7694,Sibthorpia europaea,6.0,x,8.4,5.5,3.8,0.0
7695,Sideritis albiflora,NA,11.0,NA,8.0,NA,NA
7696,Sideritis clandestina,8.1,7.1,3.5,7.1,3.3,0.0
7697,Sideritis endressii,8.0,x,2.8,7.3,3.5,0.0
7698,Sideritis glacialis,8.9,3.9,1.8,6.4,1.1,NA
7699,Sideritis hirsuta,8.7,7.5,2.3,7.0,1.7,0.0
7700,Sideritis hyssopifolia aggr.,8.7,x,2.6,6.8,1.8,0.0
7701,Sideritis incana,8.4,6.6,2.1,7.3,1.7,0.0
7702,Sideritis italica,9.0,6.0,3.0,7.0,2.0,0.0
7703,Sideritis montana,8.9,x,3.1,7.7,3.3,0.0
7704,Sideritis ovata,9.0,5.0,2.0,7.0,1.0,NA
7705,Sideritis raeseri,9.0,NA,3.3,7.4,3.4,0.0
7706,Sideritis romana,8.0,9.7,3.5,7.0,4.0,0.5
7707,Sideritis scardica,8.5,5.4,3.5,6.2,3.0,0.0
7708,Sideritis syriaca,9.0,8.0,4.0,7.0,3.0,0.0
7709,Sideritis taurica,8.5,5.3,5.3,NA,NA,NA
7710,Silaum silaus,7.4,5.7,x,6.9,3.1,0.3
7711,Silene acaulis,8.8,1.2,4.3,x,1.0,0.0
7712,Silene alpestris,7.7,3.8,5.0,x,1.5,0.0
7713,Silene ammophila,8.0,12.0,1.0,9.0,7.0,3.0
7714,Silene antri-jovis,7.0,NA,4.0,8.0,3.0,0.0
7715,Silene apetala,9.0,11.5,3.5,7.0,x,0.5
7716,Silene asterias,NA,NA,7.0,NA,NA,NA
7717,Silene auriculata,8.0,6.0,2.0,6.0,2.0,0.0
7718,Silene baccifera,x,x,7.6,7.3,7.2,0.0
7719,Silene behen,7.5,x,x,7.0,5.5,0.0
7720,Silene bellidifolia,7.0,9.5,3.0,6.0,4.0,0.0
7721,Silene borysthenica,8.8,5.5,3.4,9.0,1.0,0.0
7722,Silene boullui,9.0,9.0,4.0,6.0,6.0,0.0
7723,Silene bupleuroides,8.5,6.8,3.2,8.0,2.0,0.0
7724,Silene campanula,6.0,4.0,7.0,7.0,2.0,0.0
7725,Silene catholica,6.5,7.5,4.0,6.0,6.0,0.0
7726,Silene chalcedonica,7.0,4.3,6.0,NA,NA,NA
7727,Silene chersonensis,8.5,5.3,4.5,NA,NA,NA
7728,Silene chlorantha,7.3,5.3,3.4,8.0,2.0,0.0
7729,Silene chlorifolia,6.0,11.0,3.0,7.0,4.0,0.0
7730,Silene ciliata,8.7,3.0,3.7,x,1.7,0.0
7731,Silene coelirosa,8.5,8.5,4.0,7.5,4.5,2.5
7732,Silene colorata,8.5,10.0,3.0,7.5,5.5,4.0
7733,Silene colpophylla,NA,9.0,NA,NA,NA,NA
7734,Silene compacta,8.0,5.0,4.5,NA,NA,NA
7735,Silene conica,8.6,7.6,1.8,x,2.5,0.2
7736,Silene conoidea,8.7,7.0,2.3,6.0,5.3,0.0
7737,Silene cordifolia,7.0,3.0,2.0,2.0,1.0,0.0
7738,Silene coronaria,6.3,7.0,3.5,6.3,4.0,0.0
7739,Silene cretacea,8.5,5.0,4.3,NA,NA,NA
7740,Silene cretica,7.7,9.3,4.0,6.7,5.0,0.0
7741,Silene crispata,8.0,6.3,4.5,NA,NA,NA
7742,Silene csereii,8.0,5.3,5.3,NA,NA,NA
7743,Silene densiflora,8.3,5.3,4.7,NA,NA,NA
7744,Silene dichotoma,7.1,x,4.1,7.2,5.6,0.0
7745,Silene dioica,x,x,x,6.8,7.5,0.0
7746,Silene discolor,NA,12.0,4.0,8.0,7.0,2.0
7747,Silene diversifolia,8.0,8.0,2.0,5.0,3.0,0.0
7748,Silene donetzica,NA,8.0,NA,NA,NA,NA
7749,Silene echinata,8.0,7.0,4.0,6.0,3.0,0.0
7750,Silene echinospermoides,7.0,11.0,5.0,7.0,5.0,0.0
7751,Silene elisabethae,8.0,3.5,2.0,8.0,2.0,0.0
7752,Silene eugeniae,8.0,5.0,5.0,NA,NA,NA
7753,Silene euxina,8.1,7.6,3.6,7.8,3.4,0.4
7754,Silene exaltata,8.5,5.3,4.5,NA,NA,NA
7755,Silene fabaria,8.0,11.0,3.0,NA,4.0,1.0
7756,Silene flavescens,9.0,8.3,1.7,8.7,1.3,0.0
7757,Silene flos-cuculi,7.3,4.9,7.3,5.0,x,0.0
7758,Silene flos-jovis,9.0,3.5,3.0,3.0,4.0,0.0
7759,Silene foetida,9.0,3.0,2.0,2.0,1.0,0.0
7760,Silene fruticosa,6.5,9.0,2.5,8.0,4.0,0.0
7761,Silene fuscata,7.5,9.5,3.0,7.0,7.0,0.5
7762,Silene gallica,7.8,x,3.7,x,x,0.0
7763,Silene gallinyi,7.0,8.0,3.0,5.0,4.0,0.0
7764,Silene gigantea,7.0,11.0,2.0,9.0,4.0,1.0
7765,Silene hellmannii,8.5,5.0,4.8,NA,NA,NA
7766,Silene holzmannii,9.0,12.0,1.0,9.0,7.0,7.0
7767,Silene inaperta,9.0,9.0,2.0,4.0,2.0,0.0
7768,Silene insularis,8.0,10.0,4.0,8.0,6.0,0.0
7769,Silene integripetala,7.0,11.0,4.0,8.0,4.0,0.0
7770,Silene italica aggr.,7.1,x,3.3,7.7,2.8,0.0
7771,Silene jailensis,7.5,4.3,5.0,NA,NA,NA
7772,Silene laeta,9.0,10.0,3.0,2.0,1.0,0.0
7773,Silene latifolia,7.7,x,3.7,5.8,6.4,0.0
7774,Silene legionensis,9.0,5.0,1.0,7.0,1.0,NA
7775,Silene linicola,7.3,7.5,4.0,7.3,4.7,0.0
7776,Silene littorea,8.8,10.0,2.2,NA,2.5,0.7
7777,Silene lituanica,7.5,4.3,5.3,NA,NA,NA
7778,Silene macrodonta,7.0,11.0,4.0,8.0,NA,2.0
7779,Silene maeotica,8.5,5.0,5.0,NA,NA,NA
7780,Silene media,8.0,5.0,4.8,NA,NA,NA
7781,Silene moldavica,8.5,5.3,5.0,NA,NA,NA
7782,Silene multicaulis,7.7,5.0,4.7,x,2.7,0.0
7783,Silene multiflora,8.3,x,5.5,8.0,3.0,3.5
7784,Silene muscipula,8.0,8.0,3.5,5.5,5.0,0.0
7785,Silene niceensis,9.0,9.5,3.0,5.5,4.5,3.0
7786,Silene noctiflora,7.0,5.6,3.8,7.8,5.2,0.0
7787,Silene nocturna aggr.,7.8,9.1,2.8,6.7,5.7,0.3
7788,Silene nodulosa,6.0,7.5,4.0,5.0,2.5,0.0
7789,Silene notarisii,6.0,4.0,4.0,7.0,2.0,0.0
7790,Silene nutans,7.1,x,x,x,2.8,0.0
7791,Silene otites aggr.,8.2,6.6,2.6,7.4,2.0,0.0
7792,Silene papillosa,7.0,11.0,5.0,8.0,5.0,1.0
7793,Silene paradoxa,8.5,6.3,4.5,4.0,2.5,0.0
7794,Silene parnassica,7.3,5.1,3.2,6.6,2.1,0.0
7795,Silene pendula,6.8,7.4,3.0,2.0,4.0,0.0
7796,Silene petrarchae,NA,4.0,NA,NA,NA,NA
7797,Silene pichiana,6.0,4.0,2.0,7.0,2.0,0.0
7798,Silene pinetorum,7.0,11.0,4.0,8.0,2.5,0.0
7799,Silene procumbens,8.0,4.8,6.0,NA,NA,NA
7800,Silene radicosa,8.5,7.5,3.0,7.3,3.0,0.0
7801,Silene requienii,6.0,7.0,3.0,6.0,3.0,0.0
7802,Silene roemeri,9.0,4.0,3.0,7.0,2.0,0.0
7803,Silene salamandra,8.0,11.0,5.0,8.0,5.0,0.0
7804,Silene saxifraga,8.0,5.0,1.5,7.5,2.0,0.0
7805,Silene scabriflora,9.0,7.0,1.0,4.0,2.0,0.0
7806,Silene sclerocarpa,9.0,12.0,1.0,9.0,6.0,2.0
7807,Silene sedoides,8.7,9.7,3.0,8.3,x,5.7
7808,Silene sendtneri,7.4,5.1,4.9,6.4,2.9,0.0
7809,Silene sericea,9.0,10.0,2.0,2.0,1.0,6.0
7810,Silene sibirica,8.0,5.0,5.3,NA,NA,NA
7811,Silene sieberi,8.0,NA,3.0,8.0,4.0,0.0
7812,Silene subconica,8.3,5.9,4.3,NA,NA,NA
7813,Silene succulenta,9.0,10.0,2.3,7.3,5.3,4.3
7814,Silene suecica,8.5,1.5,4.0,3.3,2.0,0.0
7815,Silene supina,8.5,5.5,4.5,NA,NA,NA
7816,Silene syreistschikowii,8.5,6.3,3.8,NA,NA,NA
7817,Silene sytnikii,8.5,4.5,4.8,NA,NA,NA
7818,Silene tatarica,7.5,4.3,5.0,NA,NA,NA
7819,Silene thymifolia,8.3,7.4,3.5,7.4,3.0,0.8
7820,Silene tunicoides,7.0,11.0,2.0,6.0,2.0,0.0
7821,Silene tyrrhenia,9.0,10.0,2.0,2.0,1.0,3.0
7822,Silene uniflora,8.0,5.5,5.6,5.8,4.4,4.5
7823,Silene uralensis,NA,NA,5.0,NA,NA,NA
7824,Silene vallesia,7.0,3.8,2.0,2.0,1.0,0.0
7825,Silene variegata,9.0,6.0,5.0,8.0,7.0,0.0
7826,Silene velutina,8.5,9.5,4.0,4.5,x,3.0
7827,Silene velutinoides,5.0,7.0,3.0,7.0,2.0,0.0
7828,Silene viridiflora,5.9,6.8,4.9,6.3,4.3,0.0
7829,Silene viscaria,7.3,x,3.5,4.0,2.2,0.0
7830,Silene viscosa,8.2,5.9,3.3,7.0,2.0,2.3
7831,Silene vulgaris,7.8,x,4.1,7.1,3.4,0.1
7832,Silene zawadzkii,8.5,3.5,5.3,NA,NA,NA
7833,Silybum marianum,8.2,8.5,3.7,7.2,7.0,0.6
7834,Simethis mattiazzii,7.3,8.0,4.8,2.8,2.0,0.0
7835,Sinapis alba,7.6,x,4.3,7.3,6.3,0.0
7836,Sinapis arvensis,7.4,5.4,4.4,7.7,6.4,0.1
7837,Sinapis pubescens,8.5,10.0,6.0,7.0,5.5,3.5
7838,Sison amomum,7.0,7.5,x,7.5,6.3,0.0
7839,Sison segetum,8.3,7.0,4.3,6.0,6.0,0.0
7840,Sisymbrella aspera,8.5,x,7.5,7.5,5.0,0.0
7841,Sisymbrella dentata,5.0,7.0,7.0,3.0,2.0,0.0
7842,Sisymbrium altissimum,8.0,6.1,4.0,6.7,5.3,0.0
7843,Sisymbrium austriacum,7.5,x,3.7,7.8,6.8,0.0
7844,Sisymbrium confertum,8.0,6.3,3.3,NA,NA,NA
7845,Sisymbrium crassifolium,8.0,7.9,3.2,7.3,5.3,0.1
7846,Sisymbrium erysimoides,8.0,12.0,3.0,6.0,7.0,0.0
7847,Sisymbrium irio,8.0,x,3.8,7.0,6.0,0.0
7848,Sisymbrium loeselii,7.3,6.3,3.8,7.0,5.6,0.0
7849,Sisymbrium macroloma,8.0,7.5,4.0,8.0,7.0,0.0
7850,Sisymbrium officinale,7.9,5.7,4.2,7.0,7.2,0.1
7851,Sisymbrium orientale,7.6,x,4.6,7.7,6.7,0.0
7852,Sisymbrium orientale aggr.,8.0,7.0,4.0,8.0,6.0,0.0
7853,Sisymbrium polyceratium,7.7,8.8,3.7,7.3,7.0,0.3
7854,Sisymbrium polymorphum,8.5,6.0,3.4,8.0,1.0,0.0
7855,Sisymbrium runcinatum,8.0,8.0,4.0,6.0,7.0,0.0
7856,Sisymbrium strictissimum,6.3,6.3,5.6,7.6,6.4,0.0
7857,Sisymbrium supinum,7.5,6.3,7.0,6.5,5.5,0.5
7858,Sisymbrium volgense,8.0,x,3.4,7.7,4.7,0.3
7859,Sium latifolium,6.8,x,9.8,7.0,7.1,0.0
7860,Sium sisarum,6.8,6.0,9.3,7.0,7.0,0.0
7861,Sixalix atropurpurea,7.5,8.6,3.5,7.0,5.0,0.3
7862,Smilax aspera,x,9.4,3.8,6.0,3.0,0.0
7863,Smyrnium creticum,6.0,11.0,4.0,8.0,7.0,0.0
7864,Smyrnium olusatrum,7.0,8.8,4.2,6.8,7.8,0.3
7865,Smyrnium perfoliatum,x,x,4.7,7.5,7.2,0.0
7866,Sobolewskia sibirica,8.5,6.3,3.8,NA,NA,NA
7867,Solanum alatum,7.3,x,4.0,7.3,7.7,0.0
7868,Solanum chenopodioides,8.0,8.0,4.0,8.0,8.0,0.0
7869,Solanum dulcamara,7.0,5.3,8.6,6.3,7.5,0.1
7870,Solanum nigrum,7.2,x,x,6.7,7.8,0.1
7871,Solanum villosum,7.8,x,4.2,6.5,7.2,0.2
7872,Soldanella alpicola,8.0,1.5,6.0,2.0,2.0,0.0
7873,Soldanella alpina,7.4,2.2,7.0,7.8,2.3,0.0
7874,Soldanella austriaca,8.0,2.0,7.0,9.0,3.0,0.0
7875,Soldanella calabrella,5.0,4.0,7.0,2.0,2.0,0.0
7876,Soldanella carpatica,NA,NA,6.0,NA,NA,NA
7877,Soldanella hungarica,5.5,3.0,6.4,NA,NA,NA
7878,Soldanella minima,8.0,2.0,6.5,8.0,2.5,0.0
7879,Soldanella montana,5.7,4.0,6.3,2.0,2.5,0.0
7880,Soldanella pindicola,NA,NA,7.0,NA,NA,NA
7881,Soldanella pusilla,7.0,1.0,7.0,2.0,3.0,0.0
7882,Soldanella sacra,5.0,4.0,6.0,7.0,4.0,0.0
7883,Soldanella villosa,x,2.5,10.0,4.5,4.0,0.0
7884,Soleirolia soleirolii,3.7,9.0,6.3,5.7,5.0,0.0
7885,Solenanthus apenninus,9.0,3.0,3.0,7.0,3.0,0.0
7886,Solenopsis bivonae,7.0,8.0,6.5,2.0,1.0,0.0
7887,Solenopsis corsica,9.0,9.0,7.0,6.0,4.0,0.0
7888,Solenopsis laurentia,7.5,9.0,7.0,3.0,2.0,0.0
7889,Solenopsis minuta,8.0,10.5,6.5,7.5,6.5,0.5
7890,Solidago canadensis,7.7,6.0,6.0,6.4,6.3,0.0
7891,Solidago gigantea,7.7,6.0,6.1,6.0,7.0,0.0
7892,Solidago virgaurea,6.0,x,5.2,x,x,0.0
7893,Sonchus arvensis,7.2,5.2,5.4,7.0,6.6,0.9
7894,Sonchus asper,7.3,x,x,6.7,6.6,1.0
7895,Sonchus bulbosus,6.0,8.0,3.0,5.0,4.5,0.5
7896,Sonchus maritimus,8.8,7.8,5.5,8.5,6.0,6.0
7897,Sonchus oleraceus,7.3,x,x,7.6,7.7,0.4
7898,Sonchus palustris,7.1,6.0,7.9,7.0,7.2,1.1
7899,Sonchus tenerrimus,7.7,9.0,4.3,7.3,6.3,0.7
7900,Sorbus algoviensis,NA,3.0,NA,NA,NA,NA
7901,Sorbus anglica,6.0,NA,4.0,8.0,4.0,0.0
7902,Sorbus aria aggr.,6.8,6.0,3.9,7.2,2.9,0.0
7903,Sorbus arranensis,7.0,NA,4.0,4.0,3.0,0.0
7904,Sorbus aucuparia,6.4,x,5.8,x,3.6,0.0
7905,Sorbus bristoliensis,6.0,NA,4.0,8.0,4.0,0.0
7906,Sorbus chamaemespilus,7.0,3.0,4.3,7.7,3.3,0.0
7907,Sorbus devoniensis,6.0,NA,5.0,6.0,5.0,0.0
7908,Sorbus doerriana,NA,3.0,NA,NA,NA,NA
7909,Sorbus domestica,x,7.4,4.2,x,3.1,0.0
7910,Sorbus eminens,6.0,NA,5.0,7.0,5.0,0.0
7911,Sorbus hibernica,6.0,NA,5.0,7.0,5.0,0.0
7912,Sorbus hybrida aggr.,x,4.3,4.1,x,3.0,0.0
7913,Sorbus intermedia,6.5,5.3,5.0,7.5,5.5,0.0
7914,Sorbus lancastriensis,8.0,NA,4.0,7.0,3.0,0.0
7915,Sorbus latifolia aggr.,8.0,6.5,4.0,6.0,4.0,0.0
7916,Sorbus leptophylla,5.0,NA,5.0,7.0,5.0,0.0
7917,Sorbus leyana,7.0,NA,5.0,8.0,4.0,0.0
7918,Sorbus minima,6.0,NA,4.0,8.0,3.0,0.0
7919,Sorbus pannonica,NA,8.0,NA,NA,NA,NA
7920,Sorbus porrigentiformis,7.0,NA,5.0,7.0,5.0,0.0
7921,Sorbus pseudofennica,7.0,NA,4.0,4.0,3.0,0.0
7922,Sorbus rupicola,8.0,NA,4.0,7.0,3.0,0.0
7923,Sorbus semiincisa,8.0,6.0,5.0,7.0,4.0,0.0
7924,Sorbus subcuneata,6.0,NA,5.0,4.0,4.0,0.0
7925,Sorbus sudetica,7.0,3.0,5.0,5.0,3.0,0.0
7926,Sorbus torminalis,x,6.9,4.1,6.6,3.8,0.0
7927,Sorbus umbellata,7.0,9.0,4.0,8.0,3.0,0.0
7928,Sorbus vexans,6.0,NA,5.0,4.0,4.0,0.0
7929,Sorbus wilmottiana,6.0,NA,4.0,8.0,3.0,0.0
7930,Sparganium angustifolium,7.8,3.3,11.1,3.1,1.3,0.0
7931,Sparganium emersum,7.0,5.0,10.6,x,5.9,0.2
7932,Sparganium erectum,NA,7.0,NA,NA,NA,NA
7933,Sparganium erectum aggr.,7.2,x,10.1,6.7,6.2,0.1
7934,Sparganium hyperboreum,8.0,2.0,11.0,3.0,3.0,0.0
7935,Sparganium natans,7.4,4.7,10.5,5.0,3.0,0.0
7936,Spartina anglica,8.5,6.0,9.3,8.0,x,8.0
7937,Spartina maritima,8.7,6.0,9.3,8.3,6.0,7.7
7938,Spartina versicolor,9.0,8.0,6.5,7.0,7.0,6.5
7939,Spartium junceum,8.3,8.8,4.3,5.7,3.3,0.0
7940,Spergula arvensis,7.0,x,x,x,5.7,0.0
7941,Spergula morisonii,8.9,5.8,2.8,2.5,1.8,0.0
7942,Spergula pentandra,8.8,x,2.3,4.2,1.8,0.2
7943,Spergula viscosa,9.0,3.0,2.0,3.0,1.0,NA
7944,Spergularia bocconei,8.5,x,2.5,x,x,0.7
7945,Spergularia capillacea,9.0,6.0,1.0,2.0,3.0,NA
7946,Spergularia diandra,8.7,9.0,3.3,7.3,5.3,4.0
7947,Spergularia echinosperma,8.0,6.0,7.5,6.0,7.0,0.0
7948,Spergularia heldreichii,9.0,9.0,2.0,2.0,1.0,6.0
7949,Spergularia kurkae,8.0,6.0,8.0,5.0,6.0,0.0
7950,Spergularia macrorrhiza,9.0,10.0,2.0,6.0,1.0,3.0
7951,Spergularia marina,7.6,x,6.8,8.4,5.4,7.5
7952,Spergularia media,7.5,x,7.0,7.7,5.0,6.6
7953,Spergularia nicaeensis,8.0,9.0,2.0,2.0,1.0,0.0
7954,Spergularia purpurea,8.2,8.1,3.1,5.1,4.2,0.2
7955,Spergularia rubra,7.7,x,4.6,4.0,3.9,0.4
7956,Spergularia rupicola,9.0,NA,6.0,6.0,5.0,3.0
7957,Spergularia segetalis,8.7,7.0,7.3,4.0,4.0,0.0
7958,Sphenopus divaricatus,9.0,9.0,4.0,7.5,6.0,6.5
7959,Spinacia oleracea,8.0,6.7,5.0,6.5,7.5,0.0
7960,Spiraea cana,5.0,6.0,3.0,8.0,1.0,0.0
7961,Spiraea chamaedryfolia,6.0,6.2,4.0,7.0,4.5,0.0
7962,Spiraea crenata,7.8,5.1,4.6,NA,NA,NA
7963,Spiraea decumbens,5.0,4.5,3.0,8.0,1.0,0.0
7964,Spiraea hypericifolia,7.4,5.8,3.3,7.7,1.7,0.0
7965,Spiraea media,7.3,5.3,4.3,7.0,5.0,0.0
7966,Spiraea salicifolia,6.8,x,7.5,5.6,5.6,0.0
7967,Spiraea thunbergii,NA,8.0,NA,NA,NA,NA
7968,Spiranthes aestivalis,8.5,5.9,8.1,7.0,2.3,0.0
7969,Spiranthes romanzoffiana,8.0,NA,8.0,6.0,4.0,0.0
7970,Spiranthes sinensis,NA,NA,6.0,NA,NA,NA
7971,Spiranthes spiralis,8.0,x,x,6.1,2.2,0.0
7972,Spirodela polyrhiza,6.9,6.3,11.1,6.1,6.6,0.6
